collect_record [id=1, uid=4, bid=5, hid=0]
collect_record [id=2, uid=7, bid=1, hid=0]
collect_record [id=3, uid=7, bid=4, hid=0]
collect_record [id=4, uid=10, bid=1, hid=1]
collect_record [id=5, uid=10, bid=6, hid=1]
collect_record [id=6, uid=10, bid=2, hid=1]
collect_record [id=7, uid=10, bid=7, hid=1]
collect_record [id=8, uid=10, bid=2, hid=1]
collect_record [id=9, uid=10, bid=2, hid=1]
collect_record [id=10, uid=10, bid=8, hid=1]
collect_record [id=11, uid=10, bid=1, hid=1]
collect_record [id=12, uid=5, bid=12, hid=1]
collect_record [id=13, uid=17, bid=6, hid=1]
collect_record [id=14, uid=18, bid=6, hid=1]
